comb7_str_key,comb5_name,comb5_nn,comb5_str_key
"2,2,8,9,10,11,13_unfl",ONE_PAIR,1432,"2,2,10,11,13_unfl"
"2,3,3,3,7,12,13_2,3,7,12,13",FLUSH,6538,"2,3,7,12,13_fl"
"2,6,7,11,11,13,14_2,7,11,13,14",FLUSH,7070,"2,7,11,13,14_fl"
"2,4,5,6,7,9,13_2,6,7,9,13",FLUSH,6369,"2,6,7,9,13_fl"
"5,7,8,8,8,11,14_5,7,8,11,14",FLUSH,6805,"5,7,8,11,14_fl"
"3,3,4,7,8,9,10_3,4,8,9,10",FLUSH,5972,"3,4,8,9,10_fl"
"2,10,11,11,12,12,12_unfl",FULL_HOUSE,7269,"11,11,12,12,12_unfl"
"2,4,6,7,9,12,13_2,4,6,7,9,12",FLUSH,6162,"4,6,7,9,12_fl"
"7,9,10,12,13,13,14_9,10,12,13,14",FLUSH,7131,"9,10,12,13,14_fl"
"3,4,6,9,11,11,14_3,4,6,9,11",FLUSH,6025,"3,4,6,9,11_fl"
"2,4,6,7,8,12,12_unfl",ONE_PAIR,3511,"6,7,8,12,12_unfl"
"5,9,10,10,11,11,13_5,9,10,11,13",FLUSH,6524,"5,9,10,11,13_fl"
"4,4,5,9,12,13,14_unfl",ONE_PAIR,1936,"4,4,12,13,14_unfl"
"2,5,9,10,11,12,13_2,9,10,11,12,13",STRAIGHT_FLUSH,7460,"9,10,11,12,13_fl"
"5,5,6,10,10,11,12_unfl",TWO_PAIRS,4486,"5,5,10,10,12_unfl"
"2,3,10,11,12,12,14_2,3,10,12,14",FLUSH,6912,"2,3,10,12,14_fl"
"2,5,8,10,11,12,14_2,8,10,12,14",FLUSH,6927,"2,8,10,12,14_fl"
"4,4,5,6,10,11,12_4,5,6,11,12",FLUSH,6244,"4,5,6,11,12_fl"
"2,3,4,5,9,9,9_2,3,4,5,9",FLUSH,5881,"2,3,4,5,9_fl"
"3,3,5,6,13,14,14_unfl",TWO_PAIRS,4884,"3,3,13,14,14_unfl"
"2,3,8,9,10,11,12_2,8,9,10,11",FLUSH,6104,"2,8,9,10,11_fl"
"2,3,5,10,11,13,14_2,5,11,13,14",FLUSH,7063,"2,5,11,13,14_fl"
"3,4,5,6,6,7,8_3,5,6,7,8",FLUSH,5880,"3,5,6,7,8_fl"
"2,5,6,7,9,10,12_2,6,7,10,12",FLUSH,6195,"2,6,7,10,12_fl"
"2,6,7,8,9,13,14_6,8,9,13,14",FLUSH,7030,"6,8,9,13,14_fl"
"2,4,5,6,7,9,13_2,4,7,9,13",FLUSH,6364,"2,4,7,9,13_fl"
"2,6,6,8,10,11,13_6,8,10,11,13",FLUSH,6519,"6,8,10,11,13_fl"
"4,7,8,10,12,13,13_4,7,8,12,13",FLUSH,6560,"4,7,8,12,13_fl"
"2,3,6,9,10,14,14_2,3,6,9,10,14",FLUSH,6758,"3,6,9,10,14_fl"
"2,5,7,7,8,13,14_2,5,7,8,13",FLUSH,6346,"2,5,7,8,13_fl"
"3,3,4,6,6,10,11_3,4,6,10,11",FLUSH,6060,"3,4,6,10,11_fl"
"3,5,6,8,9,10,11_3,5,6,10,11",FLUSH,6062,"3,5,6,10,11_fl"
"4,5,8,12,13,14,14_4,5,12,13,14",FLUSH,7101,"4,5,12,13,14_fl"
"5,5,6,7,7,7,13_unfl",FULL_HOUSE,7203,"5,5,7,7,7_unfl"
"5,7,7,7,9,9,14_unfl",FULL_HOUSE,7206,"7,7,7,9,9_unfl"
